Sample_name,Dataset,Complete,Single,Duplicated,Fragmented,Missing,n_markers,Scores_bacteria_odb10,Scores_archaea_odb10,Scores_eukaryota_odb10
results_lake_bins/5m_89,eukaryota_odb10,5.9,5.9,0,4.3,89.8,255,"C:0.8%[S:0.8%,D:0.0%],F:1.6%,M:97.6%,n:124","C:1.0%[S:1.0%,D:0.0%],F:4.6%,M:94.4%,n:194","C:5.9%[S:5.9%,D:0.0%],F:4.3%,M:89.8%,n:255"
results_lake_bins/15mw_142,bacteria_odb10,87.9,37.9,50,9.7,2.4,124,"C:87.9%[S:37.9%,D:50.0%],F:9.7%,M:2.4%,n:124","C:21.1%[S:14.4%,D:6.7%],F:7.2%,M:71.7%,n:194","C:5.1%[S:4.7%,D:0.4%],F:3.5%,M:91.4%,n:255"
results_lake_bins/15_5m_215,bacteria_odb10,62.9,60.5,2.4,6.5,30.6,124,"C:62.9%[S:60.5%,D:2.4%],F:6.5%,M:30.6%,n:124","C:17.0%[S:17.0%,D:0.0%],F:4.1%,M:78.9%,n:194","C:3.5%[S:3.1%,D:0.4%],F:3.5%,M:93.0%,n:255"
results_lake_bins/9m_186,Check_logs,-,-,-,-,-,-,-,-,-
results_lake_bins/15mm_124,alphaproteobacteria_odb10,69.9,69.9,0,13.9,16.2,432,"C:66.9%[S:66.9%,D:0.0%],F:22.6%,M:10.5%,n:124","C:10.8%[S:10.8%,D:0.0%],F:5.2%,M:84.0%,n:194","C:4.3%[S:4.3%,D:0.0%],F:2.0%,M:93.7%,n:255"
results_lake_bins/17m_99,bacteria_odb10,34.6,29,5.6,11.3,54.1,124,"C:34.6%[S:29.0%,D:5.6%],F:11.3%,M:54.1%,n:124","C:6.1%[S:4.6%,D:1.5%],F:5.2%,M:88.7%,n:194","C:1.2%[S:1.2%,D:0.0%],F:1.6%,M:97.2%,n:255"
results_lake_bins/17m_152,chromatiales_odb10,87.9,86.7,1.2,4,8.1,652,"C:84.7%[S:83.9%,D:0.8%],F:8.1%,M:7.2%,n:124","C:17.5%[S:17.5%,D:0.0%],F:6.2%,M:76.3%,n:194","C:3.5%[S:3.1%,D:0.4%],F:2.0%,M:94.5%,n:255"
results_lake_bins/15_5m_265,bacteria_odb10,90.3,87.9,2.4,6.5,3.2,124,"C:90.3%[S:87.9%,D:2.4%],F:6.5%,M:3.2%,n:124","C:21.6%[S:20.6%,D:1.0%],F:4.1%,M:74.3%,n:194","C:2.8%[S:2.0%,D:0.8%],F:1.6%,M:95.6%,n:255"
results_lake_bins/15mw_132,betaproteobacteria_odb10,96.7,96.3,0.4,0.5,2.8,569,"C:98.4%[S:97.6%,D:0.8%],F:0.0%,M:1.6%,n:124","C:17.5%[S:17.5%,D:0.0%],F:4.6%,M:77.9%,n:194","C:4.7%[S:4.7%,D:0.0%],F:1.6%,M:93.7%,n:255"
results_lake_bins/11m_0,archaea_odb10,2.1,0,2.1,0.5,97.4,194,"C:1.6%[S:0.0%,D:1.6%],F:0.8%,M:97.6%,n:124","C:2.1%[S:0.0%,D:2.1%],F:0.5%,M:97.4%,n:194","C:0.4%[S:0.0%,D:0.4%],F:0.8%,M:98.8%,n:255"
results_lake_bins/15mm_154,bacteria_odb10,85.5,83.9,1.6,5.6,8.9,124,"C:85.5%[S:83.9%,D:1.6%],F:5.6%,M:8.9%,n:124","C:16.5%[S:15.5%,D:1.0%],F:3.6%,M:79.9%,n:194","C:5.1%[S:5.1%,D:0.0%],F:0.8%,M:94.1%,n:255"
results_lake_bins/5m_51,bacteria_odb10,2.4,0.8,1.6,1.6,96,124,"C:2.4%[S:0.8%,D:1.6%],F:1.6%,M:96.0%,n:124","C:0.5%[S:0.0%,D:0.5%],F:0.5%,M:99.0%,n:194","C:0.8%[S:0.8%,D:0.0%],F:0.0%,M:99.2%,n:255"
results_lake_bins/15_5m_134,bacteria_odb10,23.3,18.5,4.8,7.3,69.4,124,"C:23.3%[S:18.5%,D:4.8%],F:7.3%,M:69.4%,n:124","C:5.7%[S:5.2%,D:0.5%],F:1.0%,M:93.3%,n:194","C:1.2%[S:1.2%,D:0.0%],F:1.6%,M:97.2%,n:255"
results_lake_bins/11m_106,eukaryota_odb10,2.7,2.7,0,9,88.3,255,"C:0.8%[S:0.8%,D:0.0%],F:12.9%,M:86.3%,n:124","C:0.0%[S:0.0%,D:0.0%],F:2.1%,M:97.9%,n:194","C:2.7%[S:2.7%,D:0.0%],F:9.0%,M:88.3%,n:255"
results_lake_bins/11m_44,eukaryota_odb10,0.4,0.4,0,0,99.6,255,"C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.5%,M:99.5%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
results_lake_bins/5m_186,bacteria_odb10,4.8,4.8,0,0.8,94.4,124,"C:4.8%[S:4.8%,D:0.0%],F:0.8%,M:94.4%,n:124","C:1.5%[S:1.5%,D:0.0%],F:0.0%,M:98.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/13m_47,bacteria_odb10,19.4,9.7,9.7,11.3,69.3,124,"C:19.4%[S:9.7%,D:9.7%],F:11.3%,M:69.3%,n:124","C:2.6%[S:2.1%,D:0.5%],F:1.0%,M:96.4%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.4%,M:99.2%,n:255"
results_lake_bins/9m_83,bacteria_odb10,4,3.2,0.8,1.6,94.4,124,"C:4.0%[S:3.2%,D:0.8%],F:1.6%,M:94.4%,n:124","C:2.1%[S:2.1%,D:0.0%],F:0.0%,M:97.9%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
results_lake_bins/13m_152,archaea_odb10,0.5,0.5,0,0.5,99,194,"C:0.8%[S:0.0%,D:0.8%],F:0.8%,M:98.4%,n:124","C:0.5%[S:0.5%,D:0.0%],F:0.5%,M:99.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/15mm_37,bacteria_odb10,97.6,35.5,62.1,1.6,0.8,124,"C:97.6%[S:35.5%,D:62.1%],F:1.6%,M:0.8%,n:124","C:20.6%[S:12.4%,D:8.2%],F:3.1%,M:76.3%,n:194","C:3.9%[S:0.8%,D:3.1%],F:0.8%,M:95.3%,n:255"
results_lake_bins/5m_220,mollicutes_odb10,0,0,0,0,100,151,"C:0.8%[S:0.8%,D:0.0%],F:0.0%,M:99.2%,n:124","C:0.5%[S:0.5%,D:0.0%],F:0.0%,M:99.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/15mm_68,archaea_odb10,1.5,1.5,0,0,98.5,194,"C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:124","C:1.5%[S:1.5%,D:0.0%],F:0.0%,M:98.5%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.4%,M:99.2%,n:255"
results_lake_bins/11m_208,archaea_odb10,0,0,0,0.5,99.5,194,"C:0.0%[S:0.0%,D:0.0%],F:0.8%,M:99.2%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.5%,M:99.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/5m_19,bacteria_odb10,8.9,7.3,1.6,16.1,75,124,"C:8.9%[S:7.3%,D:1.6%],F:16.1%,M:75.0%,n:124","C:5.1%[S:3.6%,D:1.5%],F:4.1%,M:90.8%,n:194","C:1.2%[S:1.2%,D:0.0%],F:0.8%,M:98.0%,n:255"
results_lake_bins/9m_149,bacteria_odb10,70.2,62.1,8.1,14.5,15.3,124,"C:70.2%[S:62.1%,D:8.1%],F:14.5%,M:15.3%,n:124","C:11.8%[S:11.3%,D:0.5%],F:6.2%,M:82.0%,n:194","C:2.4%[S:2.4%,D:0.0%],F:2.7%,M:94.9%,n:255"
results_lake_bins/15mm_212,bacteria_odb10,100,10.5,89.5,0,0,124,"C:100.0%[S:10.5%,D:89.5%],F:0.0%,M:0.0%,n:124","C:19.6%[S:4.1%,D:15.5%],F:5.7%,M:74.7%,n:194","C:5.1%[S:1.2%,D:3.9%],F:2.0%,M:92.9%,n:255"
